api_name,node_machinefamily,node_machinetype,node_machinesize,node_memory_size,node_vcpus_count,node_ecu_count,ecu_per_vcpu,memory_per_vcpu,accelerator_count,accelerator,processor,storage_size,storage_type,storage_bandwidth,interconnection_bandwidth,storage_throughput,storage_trim_support,storage_iops
a1.2xlarge,EC2Family_General,EC2Type_A1,EC2Type_A1_2xLarge,16.0G,8,0,0,2.00G,0,na,AWS Graviton,EBS only,na,3500.0M,Up to 10G,437.5M,na,20000
a1.4xlarge,EC2Family_General,EC2Type_A1,EC2Type_A1_4xLarge,32.0G,16,0,0,2.00G,0,na,AWS Graviton,EBS only,na,3500.0M,Up to 10G,437.5M,na,20000
a1.large,EC2Family_General,EC2Type_A1,EC2Type_A1_Large,4.0G,2,0,0,2.00G,0,na,AWS Graviton,EBS only,na,3500.0M,Up to 10G,437.5M,na,20000
a1.medium,EC2Family_General,EC2Type_A1,EC2Type_A1_Medium,2.0G,1,0,0,2.00G,0,na,AWS Graviton,EBS only,na,3500.0M,Up to 10G,437.5M,na,20000
a1.metal,EC2Family_General,EC2Type_A1,EC2Type_A1_Metal,32.0G,16,0,0,2.00G,0,na,AWS Graviton,EBS only,na,3500.0M,Up to 10G,437.5M,na,20000
a1.xlarge,EC2Family_General,EC2Type_A1,EC2Type_A1_xLarge,8.0G,4,0,0,2.00G,0,na,AWS Graviton,EBS only,na,3500.0M,Up to 10G,437.5M,na,20000
c1.medium,EC2Family_Compute,EC2Type_C1,EC2Type_C1_Medium,1.7G,2,5,2.5,0.85G,0,na,Intel Xeon Family,350G,HDD,unset,Moderate,0M,na,0
c1.xlarge,EC2Family_Compute,EC2Type_C1,EC2Type_C1_xLarge,7.0G,8,20,2.5,0.88G,0,na,Intel Xeon Family,1680G,HDD,1000.0M,High,125.0M,na,8000
c3.2xlarge,EC2Family_Compute,EC2Type_C3,EC2Type_C3_2xLarge,15.0G,8,28,3.5,1.88G,0,na,Intel Xeon E5-2680 v2,160G,SSD,1000.0M,High,125.0M,No,8000
c3.4xlarge,EC2Family_Compute,EC2Type_C3,EC2Type_C3_4xLarge,30.0G,16,55,3.438,1.88G,0,na,Intel Xeon E5-2680 v2,320G,SSD,2000.0M,High,250.0M,No,16000
c3.8xlarge,EC2Family_Compute,EC2Type_C3,EC2Type_C3_8xLarge,60.0G,32,108,3.375,1.88G,0,na,Intel Xeon E5-2680 v2,640G,SSD,unset,10G,0M,No,0
c3.large,EC2Family_Compute,EC2Type_C3,EC2Type_C3_Large,3.75G,2,7,3.5,1.88G,0,na,Intel Xeon E5-2680 v2,32G,SSD,unset,Moderate,0M,No,0
c3.xlarge,EC2Family_Compute,EC2Type_C3,EC2Type_C3_xLarge,7.5G,4,14,3.5,1.88G,0,na,Intel Xeon E5-2680 v2,80G,SSD,500.0M,Moderate,62.5M,No,4000
c4.2xlarge,EC2Family_Compute,EC2Type_C4,EC2Type_C4_2xLarge,15.0G,8,31,3.875,1.88G,0,na,Intel Xeon E5-2666 v3,EBS only,na,1000.0M,High,125.0M,na,8000
c4.4xlarge,EC2Family_Compute,EC2Type_C4,EC2Type_C4_4xLarge,30.0G,16,62,3.875,1.88G,0,na,Intel Xeon E5-2666 v3,EBS only,na,2000.0M,High,250.0M,na,16000
c4.8xlarge,EC2Family_Compute,EC2Type_C4,EC2Type_C4_8xLarge,60.0G,36,132,3.667,1.67G,0,na,Intel Xeon E5-2666 v3,EBS only,na,4000.0M,10G,500.0M,na,32000
c4.large,EC2Family_Compute,EC2Type_C4,EC2Type_C4_Large,3.75G,2,8,4,1.88G,0,na,Intel Xeon E5-2666 v3,EBS only,na,500.0M,Moderate,62.5M,na,4000
c4.xlarge,EC2Family_Compute,EC2Type_C4,EC2Type_C4_xLarge,7.5G,4,16,4,1.88G,0,na,Intel Xeon E5-2666 v3,EBS only,na,750.0M,High,93.75M,na,6000
c5.12xlarge,EC2Family_Compute,EC2Type_C5,EC2Type_C5_12xLarge,96.0G,48,188,3.917,2.00G,0,na,Intel Xeon Platinum 8275L,EBS only,na,9500.0M,12G,1187.5M,na,40000
c5.18xlarge,EC2Family_Compute,EC2Type_C5,EC2Type_C5_18xLarge,144.0G,72,281,3.903,2.00G,0,na,Intel Xeon Platinum 8124M,EBS only,na,19000.0M,25G,2375.0M,na,80000
c5.24xlarge,EC2Family_Compute,EC2Type_C5,EC2Type_C5_24xLarge,192.0G,96,375,3.906,2.00G,0,na,Intel Xeon Platinum 8275L,EBS only,na,19000.0M,25G,2375.0M,na,80000
c5.2xlarge,EC2Family_Compute,EC2Type_C5,EC2Type_C5_2xLarge,16.0G,8,39,4.875,2.00G,0,na,Intel Xeon Platinum 8124M,EBS only,na,4750.0M,Up to 10G,593.75M,na,20000
c5.4xlarge,EC2Family_Compute,EC2Type_C5,EC2Type_C5_4xLarge,32.0G,16,73,4.562,2.00G,0,na,Intel Xeon Platinum 8124M,EBS only,na,4750.0M,Up to 10G,593.75M,na,20000
c5.9xlarge,EC2Family_Compute,EC2Type_C5,EC2Type_C5_9xLarge,72.0G,36,139,3.861,2.00G,0,na,Intel Xeon Platinum 8124M,EBS only,na,9500.0M,10G,1187.5M,na,40000
c5.large,EC2Family_Compute,EC2Type_C5,EC2Type_C5_Large,4.0G,2,10,5,2.00G,0,na,Intel Xeon Platinum 8124M,EBS only,na,4750.0M,Up to 10G,593.75M,na,20000
c5.metal,EC2Family_Compute,EC2Type_C5,EC2Type_C5_Metal,192.0G,96,375,3.906,2.00G,0,na,Intel Xeon Platinum 8275L,EBS only,na,19000.0M,25G,2375.0M,na,80000
c5.xlarge,EC2Family_Compute,EC2Type_C5,EC2Type_C5_xLarge,8.0G,4,20,5,2.00G,0,na,Intel Xeon Platinum 8124M,EBS only,na,4750.0M,Up to 10G,593.75M,na,20000
c5a.12xlarge,EC2Family_Compute,EC2Type_C5A,EC2Type_C5A_12xLarge,96.0G,48,0,0,2.00G,0,na,AMD EPYC 7R32,EBS only,na,4750.0M,12G,594.0M,na,20000
c5a.16xlarge,EC2Family_Compute,EC2Type_C5A,EC2Type_C5A_16xLarge,128.0G,64,0,0,2.00G,0,na,AMD EPYC 7R32,EBS only,na,6300.0M,20G,788.0M,na,26700
c5a.24xlarge,EC2Family_Compute,EC2Type_C5A,EC2Type_C5A_24xLarge,192.0G,96,0,0,2.00G,0,na,AMD EPYC 7R32,EBS only,na,9500.0M,20G,1188.0M,na,40000
c5a.2xlarge,EC2Family_Compute,EC2Type_C5A,EC2Type_C5A_2xLarge,16.0G,8,0,0,2.00G,0,na,AMD EPYC 7R32,EBS only,na,3170.0M,Up to 10G,396.0M,na,13300
c5a.4xlarge,EC2Family_Compute,EC2Type_C5A,EC2Type_C5A_4xLarge,32.0G,16,0,0,2.00G,0,na,AMD EPYC 7R32,EBS only,na,3170.0M,Up to 10G,396.0M,na,13300
c5a.8xlarge,EC2Family_Compute,EC2Type_C5A,EC2Type_C5A_8xLarge,64.0G,32,0,0,2.00G,0,na,AMD EPYC 7R32,EBS only,na,3170.0M,10G,396.0M,na,13300
c5a.large,EC2Family_Compute,EC2Type_C5A,EC2Type_C5A_Large,4.0G,2,0,0,2.00G,0,na,AMD EPYC 7R32,EBS only,na,3170.0M,Up to 10G,396.0M,na,13300
c5a.xlarge,EC2Family_Compute,EC2Type_C5A,EC2Type_C5A_xLarge,8.0G,4,0,0,2.00G,0,na,AMD EPYC 7R32,EBS only,na,3170.0M,Up to 10G,396.0M,na,13300
c5ad.12xlarge,EC2Family_Compute,EC2Type_C5AD,EC2Type_C5AD_12xLarge,96.0G,48,0,0,2.00G,0,na,AMD EPYC 7R32,1800G,NVMe SSD,4750.0M,12G,594.0M,Yes,20000
c5ad.16xlarge,EC2Family_Compute,EC2Type_C5AD,EC2Type_C5AD_16xLarge,128.0G,64,0,0,2.00G,0,na,AMD EPYC 7R32,2400G,NVMe SSD,6300.0M,20G,788.0M,Yes,26700
c5ad.24xlarge,EC2Family_Compute,EC2Type_C5AD,EC2Type_C5AD_24xLarge,192.0G,96,0,0,2.00G,0,na,AMD EPYC 7R32,3800G,NVMe SSD,9500.0M,20G,1188.0M,Yes,40000
c5ad.2xlarge,EC2Family_Compute,EC2Type_C5AD,EC2Type_C5AD_2xLarge,16.0G,8,0,0,2.00G,0,na,AMD EPYC 7R32,300G,SSD,3170.0M,Up to 10G,396.0M,Yes,13300
c5ad.4xlarge,EC2Family_Compute,EC2Type_C5AD,EC2Type_C5AD_4xLarge,32.0G,16,0,0,2.00G,0,na,AMD EPYC 7R32,600G,NVMe SSD,3170.0M,Up to 10G,396.0M,Yes,13300
c5ad.8xlarge,EC2Family_Compute,EC2Type_C5AD,EC2Type_C5AD_8xLarge,64.0G,32,0,0,2.00G,0,na,AMD EPYC 7R32,1200G,NVMe SSD,3170.0M,10G,396.0M,Yes,13300
