api_name,node_machinefamily,node_machinetype,node_machinesize,node_memory_size,node_vcpus_count,memory_per_vcpu,accelerator_count,accelerator,processor,storage_size,storage_type,storage_bandwidth,storage_ssd_support,network_performance,storage_throughput,storage_trim_support,storage_iops
a2-highgpu-1g,GCPFamily_Accelerated,GCPType_A2,GCPType_A2_Highgpu1G,85.0G,12,7.08G,1,NVIDIA_A100,Intel Xeon 8273CL,unset,unset,unset,Yes,24G,unset,unset,
a2-highgpu-2g,GCPFamily_Accelerated,GCPType_A2,GCPType_A2_Highgpu2G,170.0G,24,7.08G,2,NVIDIA_A100,Intel Xeon 8273CL,unset,unset,unset,Yes,32G,unset,unset,
a2-highgpu-4g,GCPFamily_Accelerated,GCPType_A2,GCPType_A2_Highgpu4G,340.0G,48,7.08G,4,NVIDIA_A100,Intel Xeon 8273CL,unset,unset,unset,Yes,50G,unset,unset,
a2-highgpu-8g,GCPFamily_Accelerated,GCPType_A2,GCPType_A2_Highgpu8G,680.0G,96,7.08G,8,NVIDIA_A100,Intel Xeon 8273CL,unset,unset,unset,Yes,100G,unset,unset,
a2-megagpu-16g,GCPFamily_Accelerated,GCPType_A2,GCPType_A2_Megagpu16G,1360.0G,96,14.16G,16,NVIDIA_A100,Intel Xeon 8273CL,unset,unset,unset,Yes,100G,unset,unset,
a2-ultragpu-1g,GCPFamily_Accelerated,GCPType_A2,GCPType_A2_Ultragpu1G,170.0G,12,14.16G,1,NVIDIA_A100,Intel Xeon 8273CL,unset,unset,unset,unknown,unset,unset,unset,
a2-ultragpu-2g,GCPFamily_Accelerated,GCPType_A2,GCPType_A2_Ultragpu2G,340.0G,24,14.16G,2,NVIDIA_A100,Intel Xeon 8273CL,unset,unset,unset,unknown,unset,unset,unset,
a2-ultragpu-4g,GCPFamily_Accelerated,GCPType_A2,GCPType_A2_Ultragpu4G,680.0G,48,14.16G,4,NVIDIA_A100,Intel Xeon 8273CL,unset,unset,unset,unknown,unset,unset,unset,
a2-ultragpu-8g,GCPFamily_Accelerated,GCPType_A2,GCPType_A2_Ultragpu8G,1360.0G,96,14.16G,8,NVIDIA_A100,Intel Xeon 8273CL,unset,unset,unset,unknown,unset,unset,unset,
c2-standard-16,GCPFamily_Compute,GCPType_C2,GCPType_C2_Standard16,64.0G,16,4.00G,0,na,Intel Xeon 6253CL,unset,unset,unset,Yes,32G,unset,unset,
c2-standard-30,GCPFamily_Compute,GCPType_C2,GCPType_C2_Standard30,120.0G,30,4.00G,0,na,Intel Xeon 6253CL,unset,unset,unset,Yes,32G,unset,unset,
c2-standard-4,GCPFamily_Compute,GCPType_C2,GCPType_C2_Standard4,16.0G,4,4.00G,0,na,Intel Xeon 6253CL,unset,unset,unset,Yes,10G,unset,unset,
c2-standard-60,GCPFamily_Compute,GCPType_C2,GCPType_C2_Standard60,240.0G,60,4.00G,0,na,Intel Xeon 6253CL,unset,unset,unset,Yes,32G,unset,unset,
c2-standard-8,GCPFamily_Compute,GCPType_C2,GCPType_C2_Standard8,32.0G,8,4.00G,0,na,Intel Xeon 6253CL,unset,unset,unset,Yes,16G,unset,unset,
