,,processor_core_count,processor_clock,processor_core_threadscount,processor_isa,processor_simd,processor_microarchitecture,processor,processor_manufacturer,processor_tdp,processor_core_L1_size, processor_core_L2_size, processor_L3_size,node_memory_bandwidth,node_memory_type
AMD,3015Ce,2,1.2G,4,64-bit,unset,unset,AMD_3015Ce,AMD,6,unset,1MB,4MB,1600M,DDR4
AMD,3015e,2,1.2G,4,64-bit,unset,unset,AMD_3015e,AMD,6,unset,1MB,4MB,1600M,DDR4
AMD,3020e,2,1.2G,2,64-bit,unset,unset,AMD_3020e,AMD,6,unset,1MB,4MB,2400M,DDR4
AMD;A10,6700,4,3.7G,4,64-bit,unset,unset,AMD_A10_6700,AMD,65,192KB,4MB,unset,1866M,DDR3
AMD;A10,6700T,4,2.5G,4,64-bit,unset,unset,AMD_A10_6700T,AMD,45,192KB,4MB,unset,1866M,DDR3
AMD;A10,6790B,4,4.0G,4,64-bit,unset,unset,AMD_A10_6790B,AMD,45,192KB,4MB,unset,1866M,DDR3
AMD;A10,6790K,4,4.0G,4,64-bit,unset,unset,AMD_A10_6790K,AMD,100,192KB,4MB,unset,1866M,DDR3
AMD;A10,6800B,4,4.1G,4,64-bit,unset,unset,AMD_A10_6800B,AMD,45,192KB,4MB,unset,2133M,DDR3
AMD;A10,6800K,4,4.1G,4,64-bit,unset,unset,AMD_A10_6800K,AMD,100,192KB,4MB,unset,2133M,DDR3
AMD;A10,7300,4,1.9G,4,64-bit,unset,unset,AMD_A10_7300,AMD,20,unset,4MB,unset,unset,unset
AMD;A10,7400P,4,2.5G,4,64-bit,unset,unset,AMD_A10_7400P,AMD,35,unset,4MB,unset,1866M,DDR3L
AMD;A10,7700K,4,3.4G,4,64-bit,unset,unset,AMD_A10_7700K,AMD,unset,256KB,4MB,unset,2133M,DDR3
AMD;A10,7800,4,3.5G,4,64-bit,unset,unset,AMD_A10_7800,AMD,unset,256KB,4MB,unset,2133M,DDR3
AMD;A10,7850K,4,3.7G,4,64-bit,MMX;SSE;SSE2;SSE3;SSE4a,unset,AMD_A10_7850K,AMD,95,256KB,4MB,unset,2133M,DDR3
AMD;A10,7860K,4,3.6G,4,64-bit,unset,unset,AMD_A10_7860K,AMD,65,256KB,4MB,unset,2133M,DDR3
AMD;A10,7860K,4,3.6G,4,64-bit,unset,unset,AMD_A10_7860K,AMD,65,256KB,4MB,unset,2133M,DDR3
AMD;A10,7870K,4,3.9G,4,64-bit,unset,unset,AMD_A10_7870K,AMD,95,256KB,4MB,unset,2133M,DDR3
AMD;A10,7870K,4,3.9G,4,64-bit,unset,unset,AMD_A10_7870K,AMD,95,256KB,4MB,unset,2133M,DDR3
AMD;A10,7890K,4,4.1G,4,64-bit,unset,unset,AMD_A10_7890K,AMD,95,256KB,4MB,unset,2133M,DDR3
AMD;A10,8700P,4,1.8G,4,64-bit,unset,unset,AMD_A10_8700P,AMD,unset,unset,2MB,unset,2133M,DDR3
AMD;A10;6;8700B;APU,PRO,4,1.8G,4,64-bit,unset,unset,AMD_A10_PRO_6_8700B_APU,AMD,15,unset,2MB,unset,2133M,DDR3L
AMD;A10;6;8700P,APU,4,1.8G,4,64-bit,unset,unset,AMD_A10_6_8700P_APU,AMD,15,unset,2MB,unset,2133M,DDR3
AMD;A10;6;8730B;APU,PRO,4,2.4G,4,64-bit,unset,unset,AMD_A10_PRO_6_8730B_APU,AMD,unset,unset,2MB,unset,1866M,DDR4
AMD;A10;6;8750B;APU,PRO,4,3.6G,4,64-bit,unset,unset,AMD_A10_PRO_6_8750B_APU,AMD,65,unset,4MB,unset,2133M,DDR3
AMD;A10;6;8770;APU,PRO,4,3.5G,4,64-bit,unset,unset,AMD_A10_PRO_6_8770_APU,AMD,65,unset,2MB,unset,2400M,DDR4
AMD;A10;6;8770E;APU,PRO,4,2.8G,4,64-bit,unset,unset,AMD_A10_PRO_6_8770E_APU,AMD,35,unset,2MB,unset,2400M,DDR4
AMD;A10;6;8850B;APU,PRO,4,3.9G,4,64-bit,MMX;SSE;SSE2;SSE3;SSE4a,unset,AMD_A10_PRO_6_8850B_APU,AMD,95,unset,4MB,unset,2133M,DDR3
AMD;A10;7;9600P,APU,4,2.4G,4,64-bit,unset,unset,AMD_A10_7_9600P_APU,AMD,15,unset,2MB,unset,1866M,DDR4
AMD;A10;7;9630P,APU,4,2.6G,4,64-bit,unset,unset,AMD_A10_7_9630P_APU,AMD,35,unset,2MB,unset,2400M,DDR4
AMD;A10;7;9700;APU,,4,3.5G,4,64-bit,unset,unset,AMD_A10_7_9700_APU,AMD,65,unset,2MB,unset,2400M,DDR4
AMD;A10;7;9700;APU,PRO,4,3.5G,4,64-bit,unset,unset,AMD_A10_PRO_7_9700_APU,AMD,65,unset,2MB,unset,2400M,DDR4
AMD;A10;7;9700B;APU,PRO,4,2.5G,4,64-bit,unset,unset,AMD_A10_PRO_7_9700B_APU,AMD,15,unset,2MB,unset,1866M,DDR4
AMD;A10;7;9700E;APU,,4,3.0G,4,64-bit,unset,unset,AMD_A10_7_9700E_APU,AMD,35,unset,2MB,unset,2400M,DDR4
AMD;A10;7;9700E;APU,PRO,4,3.0G,4,64-bit,unset,unset,AMD_A10_PRO_7_9700E_APU,AMD,35,unset,2MB,unset,2400M,DDR4
AMD;A10;7;9730B;APU,PRO,4,2.8G,4,64-bit,unset,unset,AMD_A10_PRO_7_9730B_APU,AMD,35,unset,2MB,unset,2400M,DDR4
AMD;A10;7350B,PRO,4,2.1G,4,64-bit,unset,unset,AMD_A10_PRO_7350B,AMD,19,unset,4MB,unset,1600M,DDR3L
