,,accelerator,accelerator_type,accelerator_manufacturer,accelerator_api,accelerator_architecture,accelerator_memorysize,accelerator_tdp,#chips,chip
NVIDIA;Quadro;2200,D2,NVIDIAQuadro_2200_D2,GPU,NVIDIA,CUDA_1_3,Tesla,8G,640,2,GT200GL
NVIDIA;Quadro;2200,S4,NVIDIAQuadro_2200_S4,GPU,NVIDIA,CUDA_1_3,Tesla,16G,1200,4,GT200GL
NVIDIA;Tesla,C870,NVIDIATesla_C870,GPU,NVIDIA,CUDA_1_0,Tesla,1.5G,171,1,G80
NVIDIA;Tesla,D870,NVIDIATesla_D870,GPU,NVIDIA,CUDA_1_0,Tesla,3G,520,2,G80
NVIDIA;Tesla,S870,NVIDIATesla_S870,GPU,NVIDIA,CUDA_1_0,Tesla,6G,800,4,G80
NVIDIA;Tesla,S1070,NVIDIATesla_S1070,GPU,NVIDIA,CUDA_1_3,Tesla,16G,800,4,GT200
NVIDIA;Tesla,S1070,NVIDIATesla_S1070,GPU,NVIDIA,CUDA_1_3,Tesla,32G,800,4,GT200
NVIDIA;Tesla,S1075,NVIDIATesla_S1075,GPU,NVIDIA,CUDA_1_3,Tesla,16G,800,4,GT200
NVIDIA;Tesla,C1060,NVIDIATesla_C1060,GPU,NVIDIA,CUDA_1_3,Tesla,4G,188,1,GT200
NVIDIA;Tesla,C2050,NVIDIATesla_C2050,GPU,NVIDIA,CUDA_2_0,Fermi,3G,247,1,GF100
NVIDIA;Tesla,M2050,NVIDIATesla_M2050,GPU,NVIDIA,CUDA_2_0,Fermi,6G,225,1,GF100
NVIDIA;Tesla,C2070,NVIDIATesla_C2070,GPU,NVIDIA,CUDA_2_0,Fermi,6G,247,1,GF100
NVIDIA;Tesla,C2075,NVIDIATesla_C2075,GPU,NVIDIA,CUDA_2_0,Fermi,3G,225,1,GF100
NVIDIA;Tesla,M2070,NVIDIATesla_M2070,GPU,NVIDIA,CUDA_2_0,Fermi,6G,225,1,GF100
NVIDIA;Tesla,M2070Q,NVIDIATesla_M2070Q,GPU,NVIDIA,CUDA_2_0,Fermi,6G,225,1,GF100
NVIDIA;Tesla,M2090,NVIDIATesla_M2090,GPU,NVIDIA,CUDA_2_0,Fermi,6G,225,1,GF100
NVIDIA;Tesla,S2050,NVIDIATesla_S2050,GPU,NVIDIA,CUDA_2_0,Fermi,12G,900,4,GF100
NVIDIA;Tesla,S2070,NVIDIATesla_S2070,GPU,NVIDIA,CUDA_2_0,Fermi,16G,900,4,GF100
NVIDIA;Tesla,K10,NVIDIATesla_K10,GPU,NVIDIA,CUDA_3_0,Kepler,8G,225,2,GK104
NVIDIA;Tesla,K20,NVIDIATesla_K20,GPU,NVIDIA,CUDA_3_5,Kepler,5G,225,1,GK110
NVIDIA;Tesla,K20X,NVIDIATesla_K20X,GPU,NVIDIA,CUDA_3_5,Kepler,6G,235,1,GK110
NVIDIA;Tesla,K40,NVIDIATesla_K40,GPU,NVIDIA,CUDA_3_5,Kepler,12G,235,1,GK110B
NVIDIA;Tesla,K80,NVIDIATesla_K80,GPU,NVIDIA,CUDA_3_7,Kepler,24G,300,2,GK210
NVIDIA;Tesla,M6,NVIDIATesla_M6,GPU,NVIDIA,CUDA_5_2,Maxwell,8G,100,1,GM204_995_A1
NVIDIA;Tesla,M60,NVIDIATesla_M60,GPU,NVIDIA,CUDA_5_2,Maxwell,16G,300,1,GM204_895_A1
NVIDIA;Tesla,M4,NVIDIATesla_M4,GPU,NVIDIA,CUDA_5_2,Maxwell,4G,50,1,GM206
NVIDIA;Tesla,M40,NVIDIATesla_M40,GPU,NVIDIA,CUDA_5_2,Maxwell,12_24G,250,1,GM200
NVIDIA;Tesla,M10,NVIDIATesla_M10,GPU,NVIDIA,CUDA_5_2,Maxwell,24G,225,4,GM107
NVIDIA;Tesla,P100,NVIDIATesla_P100,GPU,NVIDIA,CUDA_6_0,Pascal,16G,300,1,GP100_890_A1
NVIDIA;Tesla,P100,NVIDIATesla_P100,GPU,NVIDIA,CUDA_6_0,Pascal,12G,250,1,GP100
NVIDIA;Tesla,P100,NVIDIATesla_P100,GPU,NVIDIA,CUDA_6_0,Pascal,16G,250,1,GP100
NVIDIA;Tesla,P4,NVIDIATesla_P4,GPU,NVIDIA,CUDA_6_1,Pascal,8G,75,1,GP104
NVIDIA;Tesla,P40,NVIDIATesla_P40,GPU,NVIDIA,CUDA_6_1,Pascal,24G,250,1,GP102
NVIDIA;Tesla,P6,NVIDIATesla_P6,GPU,NVIDIA,CUDA_6_1,Pascal,16G,90,1,GP104_995_A1
NVIDIA;Tesla,V100,NVIDIATesla_V100,GPU,NVIDIA,CUDA_7_0,Volta,16_32G,300,1,GV100_895_A1
NVIDIA;Tesla,V100,NVIDIATesla_V100,GPU,NVIDIA,CUDA_7_0,Volta,16_32G,250,1,GV100
NVIDIA;Tesla,V100,NVIDIATesla_V100,GPU,NVIDIA,CUDA_7_0,Volta,16G,250,1,GV100
NVIDIA;Tesla,T4,NVIDIATesla_T4,GPU,NVIDIA,CUDA_7_5,Turing,16G,70,1,TU104_895_A1
NVIDIA;Tesla,A100,NVIDIATesla_A100,GPU,NVIDIA,CUDA_8_0,Ampere,80G,250,1,GA100_883AA_A1
NVIDIA;Tesla,A40,NVIDIATesla_A40,GPU,NVIDIA,CUDA_8_6,Ampere,48G,300,1,GA102
NVIDIA;Tesla,A10,NVIDIATesla_A10,GPU,NVIDIA,CUDA_8_6,Ampere,24G,150,1,GA102_890_A1
NVIDIA;Tesla,A16,NVIDIATesla_A16,GPU,NVIDIA,CUDA_8_6,Ampere,64G,250,1,GA107
